0,85.047,8729.6,0,0,0,0,0,0,634.54,2048.8,0,8464,64,400,8000
0,12.139,825.28,0,2477.9,45.895,286.84,2294.7,0,689.31,267.5,0,12816,149.33,933.33,11733
0,21.289,543.37,0,11188,165.48,1034.2,10003,0,686.02,276.84,0,20144,277.33,1733.3,18133
0,17.052,202.34,0,30447,550.74,3442.1,26464,0,673.03,225.87,0,31213,480,3000,27733
2.8684,18.687,226.49,2.8684,0,0,0,0,1.6667,695.62,173.64,2.6667,65256,1056,6600,57600
10.04,53.543,5422.4,3.7946,0,0,0,0,7.3333,653.49,2224.9,5.3333,65256,1056,6600,57600
